start_date,end_date,Count_sum,postcode,latitude,longitude
2022-1-1,2022-1-8,45,4741766118899712 white Istrian Coarse-haired Hound,53.40410726510657,-2.953914204784496
2022-1-9,2022-1-16,45,3522424513495040 purple Alapaha Blue Blood Bulldog,53.409494662992536,-2.9740633985888962
2022-1-17,2022-1-24,8,7271279071592448 pink Olde English Bulldogge,53.42201577557775,-2.9392051569044497
2022-2-2,2022-2-9,5,8522660283678720 tan Tamaskan Dog,53.408776021348146,-2.9583890144647285
2022-2-2,2022-2-9,48,8997780043333632 azure Stabyhoun,53.38495215917076,-2.9413941160686363
2022-2-18,2022-2-25,33,377875796590592 red Shiba Inu,53.36029630005919,-2.947263783492076
2022-2-26,2022-3-5,15,1776629858697216 pink Paisley Terrier,53.391784475109425,-2.944188491896284
2022-3-6,2022-3-13,24,5233668947705856 grey Galician Shepherd Dog,53.420496459777,-2.939195649938597
2022-3-14,2022-3-21,36,425186593603584 blue English Foxhound,53.40293301916379,-2.944926526716472
2022-3-14,2022-3-21,34,5975231806046208 cyan Jack Russell Terrier,53.3892460456903,-2.955112056855114
2022-3-22,2022-3-29,46,7081305271435264 tan Kooikerhondje,53.39968371026378,-2.929250546289495
2022-4-7,2022-4-14,30,1844502352363520 olive Tamaskan Dog,53.39614564539487,-2.9510690713964323
2022-4-7,2022-4-14,15,7515711599542272 orange Taigan,53.391338012893044,-2.9729311525577486
2022-4-15,2022-4-22,20,2312506513031168 pink Akbash,53.378457638481635,-2.94003775022793
2022-5-1,2022-5-8,17,5016417264992256 teal Pharaoh Hound,53.376526818860384,-2.956737789497197
2022-5-1,2022-5-8,21,4413600120700928 salmon Alopekis,53.404407121460295,-2.9564238232165962
2022-5-17,2022-5-24,7,1180649811607552 violet Irish Terrier,53.37703070566396,-2.9296129745822554
2022-5-17,2022-5-24,46,2964703273811968 gold Akbash,53.39780426149573,-2.9479380583545662
2022-5-25,2022-6-1,18,1447980760563712 sky blue Ibizan Hound,53.394502458399344,-2.9634632763861646
2022-6-2,2022-6-9,12,2447849862201344 turquoise Hygen Hound,53.3771948094653,-2.949477732692685
2022-6-10,2022-6-17,48,4349024425476096 indigo Boerboel,53.39717406715784,-2.9324692063833027
2022-6-18,2022-6-25,17,3391109130616832 olive Clumber Spaniel,53.36753569546867,-2.9527693717299144
2022-6-26,2022-7-3,2,4050193611751424 gold Otterhound,53.393908356569455,-2.9408461421961647
2022-7-4,2022-7-11,21,4905543474872320 indigo Schweizerischer Niederlaufhund,53.393853213073534,-2.956481414811037
2022-7-12,2022-7-19,35,4032349375299584 mint green Keeshond,53.38867335899912,-2.9368381386731244
2022-7-28,2022-8-4,30,5218547550650368 fuchsia Karst Shepherd,53.385302949100534,-2.9270953323472213
2022-8-5,2022-8-12,5,7059200230293504 cyan Cirneco dell'Etna,53.40204575370725,-2.9147851323515397
2022-8-13,2022-8-20,19,3852922798473216 ivory Dogo Argentino,53.39076063344679,-2.913440442295837
2022-8-13,2022-8-20,43,8771686151225344 orchid Dutch Shepherd,53.40155241837308,-2.921429343489649
2022-8-21,2022-8-28,28,963804097675264 tan Austrian Black and Tan Hound,53.38806352560535,-2.948972672256218
2022-9-6,2022-9-13,48,6196099459055616 gold Cão da Serra de Aires,53.383654784773036,-2.95525230134956
2022-9-6,2022-9-13,3,7340711382876160 black Tibetan Mastiff,53.41170035178279,-2.9592677397808984
2022-9-22,2022-9-29,41,5408314745683968 white Grand Anglo-Français Blanc et Noir,53.36309067661551,-2.940756129063402
2022-9-22,2022-9-29,19,7906764435488768 ivory Braque du Bourbonnais,53.38841317117308,-2.9408012945571045
2022-10-8,2022-10-15,13,3148625779621888 grey Posavac Hound,53.37251354880506,-2.9510158992944753
2022-10-16,2022-10-23,11,1850821478187008 teal Ratonero Mallorquin,53.41390274267113,-2.95116952998535
2022-10-24,2022-10-31,41,1021104323821568 white Thai Ridgeback,53.389513578192386,-2.94739184375851
2022-11-1,2022-11-8,14,7605385548529664 violet Griffon Fauve de Bretagne,53.3775569894674,-2.9579538846585365
2022-11-1,2022-11-8,31,3000454669664256 olive Treeing Cur,53.38962165757314,-2.946963509934676
2022-11-17,2022-11-24,38,3056300453789696 green Sardinian Shepherd Dog,53.380124140861234,-2.92608394438048
2022-11-25,2022-12-2,10,1208172593283072 pink Bolognese,53.38586931794518,-2.943942821868859
2022-11-25,2022-12-2,20,3175076474126336 pink Kuvasz,53.404302071780016,-2.9570002178161303
2022-12-3,2022-12-10,16,793044731297792 purple Hamiltonstövare,53.402842508868446,-2.9279834500565585
2022-12-19,2022-12-26,19,4747103089721344 purple Toy Fox Terrier,53.40777449255914,-2.93656272282567
2022-12-19,2022-12-26,7,6605901119094784 yellow Irish Red and White Setter,53.40201717236675,-2.945062246873931
2023-1-4,2023-1-11,23,3665255758561280 orchid Schillerstövare,53.36199550093224,-2.947149656343754
2023-1-12,2023-1-19,8,370380971704320 pink Ibizan Hound,53.42659602427597,-2.9591392041094196
2023-1-12,2023-1-19,38,6587258788380672 azure American Foxhound,53.414245244813436,-2.9483046380505584
2023-1-20,2023-1-27,13,7319475281985536 cyan Lithuanian Hound,53.40083989284782,-2.9438243119544723
2023-1-28,2023-2-4,22,3811138684846080 pink Chien Français Blanc et Orange,53.41774922805049,-2.955802599440858
2023-2-13,2023-2-20,15,6541975406772224 violet Carea Castellano Manchego,53.39533699557114,-2.971579637689615
2023-2-21,2023-2-28,39,2122193750196224 violet Italian Greyhound,53.39969858823294,-2.953547326970238
2023-3-1,2023-3-8,8,2294347772985344 azure Telomian,53.41591890024232,-2.9494086763993437
2023-3-9,2023-3-16,34,8642398557044736 orange Old English Terrier,53.41055409041857,-2.973952228394296
2023-3-9,2023-3-16,3,8297571868999680 yellow Petit Bleu de Gascogne,53.40312357750195,-2.932101109099108
2023-3-17,2023-3-24,43,191359176671232 pink Border Collie,53.37908616596303,-2.952379145182249
2023-3-25,2023-4-1,39,2790741115928576 tan Sabueso Español,53.374785679149134,-2.9667311886234984
2023-4-10,2023-4-17,24,8227004360949760 magenta Briard,53.37581454119722,-2.938992563602824
2023-4-10,2023-4-17,21,4719929878118400 violet Poitevin,53.393814820669675,-2.9485783181009992
2023-4-18,2023-4-25,6,7878419599589376 silver Pomeranian,53.385723849840964,-2.930554726708806
2023-5-4,2023-5-11,47,215415003283456 turquoise Bully Kutta,53.39543321274833,-2.944533044585114
2023-5-4,2023-5-11,45,8683199926370304 grey Small Greek domestic dog,53.39264806190732,-2.946269137495392
2023-5-20,2023-5-27,2,8187490108178432 teal American Pit Bull Terrier,53.41253916237727,-2.9509596663436923
2023-5-20,2023-5-27,18,461981534388224 teal Perro de Presa Mallorquin,53.37685892411905,-2.949725772875013
2023-6-5,2023-6-12,39,8029920236142592 violet Soft-Coated Wheaten Terrier,53.42800013805947,-2.9584610664502407
2023-6-13,2023-6-20,48,4953731370057728 magenta Scottish Deerhound,53.39199700170345,-2.9512552774114056
2023-6-13,2023-6-20,44,4700697423511552 purple Aidi,53.41205566168974,-2.9690619829182197
2023-6-29,2023-7-6,39,1804601191825408 olive Dunker,53.393416428621556,-2.948273417567748
2023-6-29,2023-7-6,47,5444863088656384 blue Anglo-Français de Petite Vénerie,53.41325772650382,-2.94209920768094
2023-7-15,2023-7-22,46,3103082726555648 indigo Broholmer,53.39540656988334,-2.934712261532127
2023-7-15,2023-7-22,33,235255145431040 gold Old Croatian Sighthound,53.39230333659881,-2.93385785244584
2023-7-23,2023-7-30,7,5887148129517568 black Australian Cattle Dog,53.38069619508845,-2.9398090812504734
2023-8-8,2023-8-15,26,40347304460288 orchid German Wirehaired Pointer,53.41719307455488,-2.9669600785122157
2023-8-16,2023-8-23,32,2622119036846080 yellow Kuchi,53.40660306729698,-2.95327001937153
2023-8-24,2023-8-31,33,8295408872718336 green Pumi,53.39247827822924,-2.9604795888064928
2023-9-1,2023-9-8,24,3990604134481920 salmon Tibetan Mastiff,53.39067060549294,-2.9454153507018646
2023-9-9,2023-9-16,16,5153730424995840 cyan Indian pariah dog,53.39359318024682,-2.9582855138551167
2023-9-17,2023-9-24,31,543623439450112 olive Serrano Bulldog,53.37483216969384,-2.9672194182367093
2023-9-17,2023-9-24,13,229364933328896 cyan Akita,53.396374739117284,-2.9403838564254556
2023-9-25,2023-10-2,40,7517861150982144 grey Segugio Italiano,53.400963049423886,-2.9187801634666357
2023-10-3,2023-10-10,4,1734557495721984 yellow English Springer Spaniel,53.39380558167075,-2.9661258361795717
2023-10-11,2023-10-18,16,154370402418688 indigo Westphalian Dachsbracke,53.36291944566833,-2.957754689595049
2023-10-27,2023-11-3,2,6158164290437120 plum Border Collie,53.365412375119185,-2.9513802417230863
2023-11-4,2023-11-11,1,8118980610883584 olive Newfoundland,53.39175382723812,-2.9546198459831885
2023-11-12,2023-11-19,43,2038319391178752 indigo German Pinscher,53.38341969648316,-2.9400568380460754
2023-11-20,2023-11-27,17,5185743186034688 pink Dogo Sardesco,53.38275571004636,-2.947985277470025
2023-11-20,2023-11-27,4,3508450491367424 turquoise Galician Shepherd Dog,53.423703737156465,-2.9488993850953875
2023-12-6,2023-12-13,22,7078435333603328 ivory East European Shepherd,53.409901251955944,-2.950692267991826
2023-12-14,2023-12-21,34,8465572337549312 grey German Shepherd Dog,53.39656637802918,-2.947055026447515
2023-12-14,2023-12-21,33,1445807796518912 violet English Foxhound,53.40337383973201,-2.9572067217034146
2023-12-30,2024-1-6,18,671685126651904 violet Gull Terrier,53.393761699026705,-2.948817275159172
2024-1-7,2024-1-14,20,8277542272237568 tan White Shepherd,53.41266784566599,-2.954505454100854
2024-1-15,2024-1-22,48,5165191268401152 mint green Trigg Hound,53.36716459478453,-2.943213949263054
2024-1-15,2024-1-22,34,3251108690526208 turquoise Polish Tatra Sheepdog,53.39442586284711,-2.948948282566789
2024-1-23,2024-1-30,37,1827426344632320 maroon Manchester Terrier,53.4265979555229,-2.9532521915991765
2024-1-31,2024-2-7,18,1310089264758784 green Saint Bernard,53.40939914521245,-2.9584966972048505
2024-2-16,2024-2-23,7,1040524565807104 cyan German Shepherd Dog,53.39492910510786,-2.9550021037504166
2024-2-16,2024-2-23,19,1020731993358336 red Tornjak,53.38413998662612,-2.95511100402166
2024-3-3,2024-3-10,29,8668796231352320 tan Pražský Krysařík,53.395099507374525,-2.9520879316016817
2024-3-11,2024-3-18,47,4327169400504320 lavender Pyrenean Sheepdog,53.40757197075259,-2.947388422529002
2024-3-19,2024-3-26,9,5574007499784192 gold Cursinu,53.42176125125863,-2.9289425542280014
2024-3-27,2024-4-3,7,7179222382542848 magenta Hovawart,53.37767917784248,-2.9541569057170136
2024-3-27,2024-4-3,33,6387119811461120 silver Boston Terrier,53.39754256128702,-2.9729563133946613
2022-1-9,2022-1-16,2,1099063386701824 ivory Puli,53.412271348905726,-2.9621453092081538
2022-1-17,2022-1-24,43,1089831962673152 ivory French Bulldog,53.36964441863995,-2.9739290708107546
2022-1-17,2022-1-24,26,4993944970592256 violet Hovawart,53.385724762819876,-2.932962848801367
2022-1-25,2022-2-1,15,160372371750912 purple Rhodesian Ridgeback,53.40504454532575,-2.958126014871823
2022-2-2,2022-2-9,6,4527769666977792 indigo Austrian Black and Tan Hound,53.39657398689463,-2.9659478353059967
2022-2-10,2022-2-17,22,3859446627303424 teal White Swiss Shepherd Dog,53.38567886501882,-2.9232488909428866
2022-2-18,2022-2-25,13,5119698075123712 black Spanish Water Dog,53.410931422722804,-2.94236975166541
2022-3-6,2022-3-13,7,8540107984338944 indigo Kangal Shepherd Dog,53.382913074649515,-2.9254616618611635
2022-3-14,2022-3-21,11,3499525484314624 gold Bohemian Shepherd,53.395366887901346,-2.9489105159527753
2022-3-22,2022-3-29,5,8261723274346496 violet Hierran Wolfdog,53.39199697708303,-2.9495266665592226
2022-3-22,2022-3-29,48,1374213256511488 blue French Bulldog,53.3981962924829,-2.950074166461718
2022-3-30,2022-4-6,19,3183769355812864 cyan Australian Terrier,53.414907398192916,-2.9236820551243454
2022-4-15,2022-4-22,32,3369546392010752 blue Maltese,53.39528292237796,-2.9418534465469293
2022-4-23,2022-4-30,28,4771822845296640 tan Kars,53.38032958107345,-2.974884822037666
2022-4-23,2022-4-30,46,4100469884452864 gold Bull Terrier,53.39449683890476,-2.9510078011398946
2022-5-9,2022-5-16,27,5440747098603520 violet Saint Hubert Jura Hound,53.39743726859326,-2.9287822485141533
2022-5-9,2022-5-16,44,6698520440471552 turquoise Transylvanian Hound,53.360632991310425,-2.950516571069784
2022-5-17,2022-5-24,35,3105288873836544 salmon Greek Shepherd,53.39589331487941,-2.9341404144679473
2022-6-2,2022-6-9,31,7618841278414848 red Perro de Pastor Mallorquin,53.38753382021999,-2.9233583611212453
2022-6-10,2022-6-17,8,1982571233673216 gold Rhodesian Ridgeback,53.404790076607064,-2.97538454083724
2022-6-10,2022-6-17,26,8103168674103296 maroon Tosa,53.40236332213147,-2.975714533075916
2022-6-26,2022-7-3,48,2483400063582208 pink Blue Lacy,53.395849834790035,-2.9399784287544435
2022-6-26,2022-7-3,5,5033596435824640 pink Old Danish Pointer,53.39582536110512,-2.9735023742355224
2022-7-12,2022-7-19,14,1107571828064256 white Icelandic Sheepdog,53.42738502565771,-2.958555190815332
2022-7-20,2022-7-27,29,3877007064563712 azure Molossus of Epirus,53.383932399191195,-2.93645991288372
2022-7-20,2022-7-27,20,6117780753481728 lime Australian Terrier,53.40405370616229,-2.9473434868995128
2022-8-5,2022-8-12,28,3364699684995072 cyan Sinhala Hound,53.391531181538845,-2.9378160204284995
2022-8-5,2022-8-12,43,5816174405222400 pink Alopekis,53.368135641449214,-2.954950076010846
2022-8-21,2022-8-28,7,4731691694292992 green Afghan Hound,53.37667839847151,-2.9299067182959107
2022-8-21,2022-8-28,28,954101726707712 magenta German Spitz,53.39315130810965,-2.9454278271829253
2022-8-29,2022-9-5,15,4935884898041856 plum Dutch Shepherd,53.38124457366999,-2.9369396410121453
2022-9-6,2022-9-13,45,712732768731136 yellow Boxer,53.423055829276,-2.9361815038167833
2022-9-22,2022-9-29,35,6415474248122368 pink Yorkshire Terrier,53.39396516094712,-2.9480762075849043
2022-9-22,2022-9-29,37,52187057094656 salmon Appenzeller Sennenhund,53.40322151689584,-2.9423731511773212
2022-9-30,2022-10-7,33,7288437403025408 magenta Paisley Terrier,53.39291370006755,-2.9354114973721153
2022-10-8,2022-10-15,26,4178650092011520 yellow Icelandic Sheepdog,53.380191375883406,-2.9430999516064276
2022-10-24,2022-10-31,18,1251259008942080 orchid King Shepherd,53.40296319702786,-2.969205246442584
2022-10-24,2022-10-31,17,4859886340931584 grey Central Asian Shepherd Dog,53.393808088149804,-2.9474496672182795
2022-11-1,2022-11-8,23,7329226350919680 olive Soft-Coated Wheaten Terrier,53.41764969287647,-2.9331013643726465
2022-11-9,2022-11-16,17,4248864972341248 violet Volpino Italiano,53.378107661246375,-2.9683013428855247
2022-11-17,2022-11-24,35,7877793318699008 lavender Shih Tzu,53.38332380592638,-2.9283571997082163
2022-11-25,2022-12-2,32,935766945431552 lime Barbado da Terceira,53.40254390848156,-2.9544518699032096
2022-12-11,2022-12-18,41,7886948167319552 fuchsia Bruno Jura Hound,53.41302903925964,-2.9569709306533696
2022-12-11,2022-12-18,7,3035648579600384 plum German Spaniel,53.37145374452864,-2.9352983129659833
2022-12-27,2023-1-3,45,8962955324424192 grey Hygen Hound,53.40631048964739,-2.9506840859605745
